path,type,size_bytes,sha256,git_tracked,last_commit,match_module,evidence_role,read_status
run.py,py,8345,a3a91c8f7b667816b483c952da7dc814cd151fabb1bc32b68e0401d77d7aa123,true,d77a0633d0c46c8be8ae1abf0e91c756271334a2,baseline,scene/checkpoint dispatch,read
splat/gsplat_utils.py,py,8456,8ee98384dcbe774725307ebb1b5a91f0140922f791542f3acbdfd31e55c5238d,true,d77a0633d0c46c8be8ae1abf0e91c756271334a2,barrier_geometry,repository GSplat ellipsoid safety field,read
work/risk_aware_cbf/scripts/run_v4c_hstep_predictive_recovery.py,py,39656,d710f36d73f953e16588286445e30596887b7559faceccdd81c49e0223d930fe,true,b626b99cb1ed1437730c0e0734635fd8f0bdc517,v4c,predictive recovery wrapper,read
work/risk_aware_cbf/scripts/run_v4c_hierarchical_paired_audit.py,py,16731,e9283b5893d227dccd8064934bce62b03b2871808f6661d743e1d3f15d2f627e,true,11e2a4f8c49266a11c4c178e947b46ee70612d99,hce,development paired contract,read
work/risk_aware_cbf/scripts/run_v4c_hierarchical_heldout_active_ab.py,py,24886,879a4d2f5c277d8515eb6121c1706b081e998c663f45c94a0a5a3ef9ff7f274a,true,a83259798e0e4b1a2c7fcdce2617ebd8783ebcc3,hce,held-out active protocol,read
work/risk_aware_cbf/scripts/run_v4c_trial20_failure_diagnosis.py,py,19811,20022d6de163ca328422ee22445992502b2d65a387f60b02226b0f9db89f993f,true,4f8e00fcc10cbeb98b933d3507eb009659e1341f,trial20,targeted recovery diagnosis,read
work/risk_aware_cbf/scripts/run_v4c_gtep_shadow_audit.py,py,10526,03cc428a663a8b2efe96052470cec22c50cacbaa1e34b255d9da6b23b7529f89,true,41ccb54d2e9f10c0b3b559431a58a5763977d462,gtep,geometry-conditioned shadow diagnostic,read
work/risk_aware_cbf/REPORT_STARTGUARD_FLIGHT100.md,md,2682,ef00a4f435fc0e371cf720b7193710173dc734cd07cff9f6016f45223318bc9c,true,d77a0633d0c46c8be8ae1abf0e91c756271334a2,startguard,original/post-repair separation,read
work/risk_aware_cbf/REPORT_RISK_AWARE_V1_FLIGHT_100_TRIAL.md,md,4159,59e72856fe1c5ff9e2a5f1b49191cbce6aaebd6db2af905807faf38076374e9e,true,d77a0633d0c46c8be8ae1abf0e91c756271334a2,risk_aware_v1,flight100 evidence,read
work/risk_aware_cbf/REPORT_V4C_FLIGHT100_VALIDATION.md,md,7220,4797420e2cf7972818726770eadf4ee2805689f2240363460d512de1cc72d038,true,d77a0633d0c46c8be8ae1abf0e91c756271334a2,v4c,full100 H3/N128 evidence,read
work/risk_aware_cbf/REPORT_V4C_HIERARCHICAL_HELDOUT_ACTIVATED_COHORT.md,md,3669,7ff0791fe5c0b8bde890e9419af4234b7270e1a7b6512db1d00d8c4c80869b94,true,a83259798e0e4b1a2c7fcdce2617ebd8783ebcc3,hce,held-out cohort evidence,read
work/risk_aware_cbf/REPORT_V4C_TRIAL20_RECOVERY_FAILURE_DIAGNOSIS.md,md,3966,3650dad990b8e8c0a927d084e28766ca5b4320585edf90d38bc7410d1c833119,true,4f8e00fcc10cbeb98b933d3507eb009659e1341f,trial20,failure boundary,read
work/risk_aware_cbf/REPORT_V4C_GTEP_SHADOW_FEASIBILITY.md,md,3456,715e03ad582ef5520ab4eee830aa788a5b88901399b25c6082a78f762de6cffd,true,41ccb54d2e9f10c0b3b559431a58a5763977d462,gtep,negative diagnostic,read
work/risk_aware_cbf/results/v4c_hierarchical_heldout_activated_cohort/heldout_cohort_preregistration.csv,csv,2852,73c19bf8989e97a25a4c054eb5d39882dbef01477209218c2c266400b5c28668,true,a83259798e0e4b1a2c7fcdce2617ebd8783ebcc3,hce,held-out trial registry,read
work/risk_aware_cbf/results/v4c_hierarchical_heldout_activated_cohort/run_order_preregistration.csv,csv,3074,681f711d2e4a802aeec99b25f450eb90a7e6cd7376ad7a2e6e1564d3835ef47e,true,a83259798e0e4b1a2c7fcdce2617ebd8783ebcc3,hce,execution order registry,read
work/risk_aware_cbf/results/v4c_trial20_failure_diagnosis/preregistration.csv,csv,104,5c48b50eeb3a2adf4c8866d36bd17dc907d4f6c2e2a4b8e5acae4f4d275ed8bb,true,4f8e00fcc10cbeb98b933d3507eb009659e1341f,trial20,trial20 frozen comparator,read
work/risk_aware_cbf/results/v4c_gtep_shadow_audit/trial20_context_preregistration.csv,csv,1213,72f03f62a0c817673001f2d2d6b53546fb6eddde31093609b6fbcb8acff1f56f,true,41ccb54d2e9f10c0b3b559431a58a5763977d462,gtep,ordered trial20 contexts,read
