frame_index,timestamp,group,tail_pixel_count,category,valid_reprojection_count,supported_fraction,occlusion_ambiguous_fraction,inconsistent_fraction,rgb_temporal_mean_abs_difference,motion_translation_m,motion_rotation_deg
78,653435.595,2,39277,TEMPORALLY_SUPPORTED,12634,0.3217508310907076,0.12395124267848662,0.5542979262308058,0.11399763982181718,0.11003945443685482,7.442253085593617
79,653435.795,2,38750,TEMPORALLY_SUPPORTED,13845,0.2533044420368364,0.06587215601300109,0.6808234019501626,0.1294630096198312,0.09704858284353617,3.026432677320331
77,653435.295,2,36429,OCCLUSION_AMBIGUOUS,11376,0.2079817158931083,0.5412271448663853,0.25079113924050633,0.10789674525543906,0.09565223677685926,13.45664700862253
76,653435.095,2,30301,TEMPORALLY_INCONSISTENT,9577,0.1549545786780829,0.22397410462566567,0.6210713166962515,0.09472493356241277,0.07881448147506509,12.075715783474816
182,653467.698,12,6348,OCCLUSION_AMBIGUOUS,10953,0.03241121154021729,0.5047019081530174,0.4628868803067653,0.11016704993488949,0.09164177272192094,10.210705243176625
174,653465.899,12,5657,OCCLUSION_AMBIGUOUS,9559,0.04791296160686264,0.7924469086724553,0.1596401297206821,0.14035520580684047,0.0713194423889406,8.722000224540887
183,653467.798,12,5205,OCCLUSION_AMBIGUOUS,9162,0.004038419559048243,0.9947609692206941,0.0012006112202575857,0.06756916905722095,0.09006818353155287,7.248516143776411
63,653432.096,2,4036,OCCLUSION_AMBIGUOUS,12266,0.02747431925648133,0.8839067340616338,0.08861894668188489,0.11051336999341076,0.08117547371240585,8.973819468195293
175,653466.099,12,3799,TEMPORALLY_INCONSISTENT,9447,0.09823224304011856,0.30888112628347625,0.5928866306764052,0.140254845520784,0.14264595259513835,14.7536785726474
61,653431.496,2,3753,OCCLUSION_AMBIGUOUS,12726,0.025145371680025147,0.7843784378437844,0.19047619047619047,0.14222322549470406,0.07548348522041673,14.365889030136405
180,653467.499,12,3627,OCCLUSION_AMBIGUOUS,14155,0.0009890498057223596,0.996114447191805,0.0028965030024726245,0.08926580516760278,0.14304476166198185,14.340585389671881
184,653467.898,12,2835,TEMPORALLY_INCONSISTENT,6068,0.08009228740936059,0.1432102834541859,0.7766974291364536,0.08381916267137579,0.08771841058510749,8.347175604744447
65,653432.696,2,2639,TEMPORALLY_INCONSISTENT,5347,0.013091453151299795,0.164017205909856,0.8228913409388442,0.2591871608676225,0.050560853409964954,11.52207360866843
165,653464.100,12,2613,OCCLUSION_AMBIGUOUS,5740,0.05174216027874565,0.9383275261324042,0.009930313588850175,0.14161713656742517,0.11829150653415199,11.245180548240223
179,653467.299,12,2588,TEMPORALLY_INCONSISTENT,9196,0.005654632448890822,0.25728577642453243,0.7370595911265768,0.13818044071666352,0.06302482230450808,9.51722309510539
116,653453.204,11,2486,OCCLUSION_AMBIGUOUS,9161,0.007095295273441764,0.8558017683658989,0.13710293636065932,0.13544643945278156,0.07820800799966213,8.955355629890665
120,653454.204,12,2278,OCCLUSION_AMBIGUOUS,4934,0.08188082691528172,0.6574787190920146,0.2606404539927037,0.11145765987213196,0.09958069758760839,15.203355122805547
176,653466.299,12,2110,TEMPORALLY_INCONSISTENT,4796,0.07923269391159299,0.1298999165971643,0.7908673894912427,0.13860483039975635,0.13367029746103912,13.31326073294788
21,653422.100,0,1948,OCCLUSION_AMBIGUOUS,4354,0.08957280661460726,0.8810289389067524,0.02939825447864033,0.10917374649997968,0.09512479012108471,5.924993839764928
173,653465.799,12,1871,TEMPORALLY_INCONSISTENT,3795,0.08722002635046114,0.19156785243741767,0.7212121212121212,0.18184877138424207,0.06395886112019213,9.73792326130932
