frame_index,timestamp,group,tail_pixel_count,tail_confidence_0_fraction,tail_no_mesh_hit_fraction,tail_sensor_behind_fraction,tail_sensor_in_front_fraction,tail_border_le_10pct_fraction,tail_depth_gt_4m_fraction,temporal_category,rgb_temporal_mean_abs_difference,labels
78,653435.595,2,39277,1.0,0.07210326654276039,0.001884054281131451,0.9260126791761082,0.30885760114061667,0.0,TEMPORALLY_SUPPORTED,0.11399763982181718,CONFIDENCE_ZERO_OR_LOW;SENSOR_IN_FRONT_OF_MESH
79,653435.795,2,38750,1.0,0.06090322580645161,0.0,0.9390967741935484,0.2865548387096774,0.0,TEMPORALLY_SUPPORTED,0.1294630096198312,CONFIDENCE_ZERO_OR_LOW;SENSOR_IN_FRONT_OF_MESH
77,653435.295,2,36429,0.9980235526640863,0.05822284443712427,0.03925444014384145,0.9025227154190343,0.31332180405720716,0.0,OCCLUSION_AMBIGUOUS,0.10789674525543906,CONFIDENCE_ZERO_OR_LOW;SENSOR_IN_FRONT_OF_MESH
76,653435.095,2,30301,1.0,0.04306788554833174,0.0007590508564073793,0.9561730635952609,0.339394739447543,0.0,TEMPORALLY_INCONSISTENT,0.09472493356241277,CONFIDENCE_ZERO_OR_LOW;SENSOR_IN_FRONT_OF_MESH;TEMPORAL_INCONSISTENCY
182,653467.698,12,6348,1.0,0.5315059861373661,0.2542533081285444,0.2142407057340895,0.3848456206679269,0.09798361688720857,OCCLUSION_AMBIGUOUS,0.11016704993488949,CONFIDENCE_ZERO_OR_LOW;MESH_COVERAGE_GAP;SENSOR_BEHIND_MESH
174,653465.899,12,5657,0.9895704436980732,0.6109245182959165,0.0,0.38907548170408346,0.5555948382534912,0.0,OCCLUSION_AMBIGUOUS,0.14035520580684047,CONFIDENCE_ZERO_OR_LOW;MESH_COVERAGE_GAP;SENSOR_IN_FRONT_OF_MESH;IMAGE_BORDER
183,653467.798,12,5205,0.9371757925072046,0.562536023054755,0.39077809798270896,0.04668587896253602,0.5154658981748319,0.506628242074928,OCCLUSION_AMBIGUOUS,0.06756916905722095,CONFIDENCE_ZERO_OR_LOW;MESH_COVERAGE_GAP;SENSOR_BEHIND_MESH;IMAGE_BORDER;LONG_RANGE
63,653432.096,2,4036,1.0,0.18037661050545095,0.6964816650148662,0.12314172447968286,0.38974231912784935,0.05624380574826561,OCCLUSION_AMBIGUOUS,0.11051336999341076,CONFIDENCE_ZERO_OR_LOW;SENSOR_BEHIND_MESH
175,653466.099,12,3799,0.974466964990787,0.3435114503816794,0.007107133456172677,0.649381416162148,0.20742300605422478,0.0,TEMPORALLY_INCONSISTENT,0.140254845520784,CONFIDENCE_ZERO_OR_LOW;SENSOR_IN_FRONT_OF_MESH;TEMPORAL_INCONSISTENCY
61,653431.496,2,3753,1.0,0.5046629363176126,0.35571542765787373,0.13962163602451372,0.0,0.0,OCCLUSION_AMBIGUOUS,0.14222322549470406,CONFIDENCE_ZERO_OR_LOW;MESH_COVERAGE_GAP;SENSOR_BEHIND_MESH
180,653467.499,12,3627,0.9903501516404742,0.6752136752136753,0.311552247036118,0.013234077750206782,0.0,0.9564378274055694,OCCLUSION_AMBIGUOUS,0.08926580516760278,CONFIDENCE_ZERO_OR_LOW;MESH_COVERAGE_GAP;SENSOR_BEHIND_MESH;LONG_RANGE
184,653467.898,12,2835,1.0,0.24938271604938272,0.0007054673721340388,0.7499118165784833,0.5682539682539682,0.0,TEMPORALLY_INCONSISTENT,0.08381916267137579,CONFIDENCE_ZERO_OR_LOW;SENSOR_IN_FRONT_OF_MESH;IMAGE_BORDER;TEMPORAL_INCONSISTENCY
65,653432.696,2,2639,0.9905267146646457,0.03675634710117469,0.03637741568776052,0.9268662372110648,0.8560060629026146,0.0,TEMPORALLY_INCONSISTENT,0.2591871608676225,CONFIDENCE_ZERO_OR_LOW;SENSOR_IN_FRONT_OF_MESH;IMAGE_BORDER;TEMPORAL_INCONSISTENCY;DYNAMIC_OR_TRANSIENT_SUSPECT
165,653464.100,12,2613,1.0,0.5254496747034061,0.47455032529659397,0.0,0.5625717566016073,0.04324531190202832,OCCLUSION_AMBIGUOUS,0.14161713656742517,CONFIDENCE_ZERO_OR_LOW;MESH_COVERAGE_GAP;SENSOR_BEHIND_MESH;IMAGE_BORDER
179,653467.299,12,2588,1.0,0.5938948995363215,0.0,0.40610510046367854,0.392967542503864,0.11746522411128284,TEMPORALLY_INCONSISTENT,0.13818044071666352,CONFIDENCE_ZERO_OR_LOW;MESH_COVERAGE_GAP;SENSOR_IN_FRONT_OF_MESH;TEMPORAL_INCONSISTENCY
116,653453.204,11,2486,0.9629927594529365,0.499597747385358,0.4082864038616251,0.0921158487530169,0.6222847948511665,0.45253419147224455,OCCLUSION_AMBIGUOUS,0.13544643945278156,CONFIDENCE_ZERO_OR_LOW;SENSOR_BEHIND_MESH;IMAGE_BORDER
120,653454.204,12,2278,0.9060579455662863,0.517998244073749,0.353819139596137,0.12818261633011413,0.5899912203687445,0.0228270412642669,OCCLUSION_AMBIGUOUS,0.11145765987213196,CONFIDENCE_ZERO_OR_LOW;MESH_COVERAGE_GAP;SENSOR_BEHIND_MESH;IMAGE_BORDER
176,653466.299,12,2110,0.9317535545023696,0.27677725118483415,0.0037914691943127963,0.7194312796208531,0.16919431279620853,0.006161137440758294,TEMPORALLY_INCONSISTENT,0.13860483039975635,CONFIDENCE_ZERO_OR_LOW;SENSOR_IN_FRONT_OF_MESH;TEMPORAL_INCONSISTENCY
21,653422.100,0,1948,1.0,0.05082135523613963,0.9404517453798767,0.008726899383983572,0.7207392197125256,0.978952772073922,OCCLUSION_AMBIGUOUS,0.10917374649997968,CONFIDENCE_ZERO_OR_LOW;SENSOR_BEHIND_MESH;IMAGE_BORDER;LONG_RANGE
173,653465.799,12,1871,1.0,0.3367183324425441,0.0,0.6632816675574559,0.6969535008017104,0.0,TEMPORALLY_INCONSISTENT,0.18184877138424207,CONFIDENCE_ZERO_OR_LOW;SENSOR_IN_FRONT_OF_MESH;IMAGE_BORDER;TEMPORAL_INCONSISTENCY;DYNAMIC_OR_TRANSIENT_SUSPECT
