rule_id,source_phase_match,event_match,deadline_match,backup_match,candidate_match,guard_match,final_match
SA_SAFE,false,false,false,false,false,true,false
SA_REPAIR,false,false,false,false,false,true,false
REPAIR_PASS,false,false,false,false,false,true,false
REPAIR_FAIL,false,false,true,false,false,true,false
REPAIR_UNKNOWN,false,false,true,false,false,true,false
R0_DIAGNOSTIC,false,false,true,true,false,true,false
L1_PASS,false,false,false,true,false,true,false
L1_FAIL,false,false,true,true,false,true,false
L1_UNKNOWN_GLOBAL,false,false,true,true,false,true,false
L1_UNKNOWN_HEALTH,false,false,true,true,false,true,false
L1_UNKNOWN_UNRESOLVED,false,false,true,true,false,true,false
P0_PRIMARY,false,false,false,true,true,true,false
P0_NONE,false,false,true,true,false,true,false
C0_PASS,false,false,false,true,true,true,false
C0_FAIL_LOCAL_ALT,false,false,false,true,true,false,false
C0_FAIL_LOCAL_ARB,false,false,true,true,true,true,false
C0_UNKNOWN_LOCAL_ALT,false,false,false,true,true,false,false
C0_UNKNOWN_LOCAL_ARB,false,false,true,true,true,true,false
C0_UNKNOWN_GLOBAL,false,false,true,true,true,true,false
L2_PASS,false,false,false,true,true,true,false
L2_FAIL_ALT,false,false,false,true,true,false,false
L2_FAIL_ARB,false,false,true,true,true,true,false
L2_UNKNOWN_LOCAL_ALT,false,false,false,true,true,false,false
L2_UNKNOWN_LOCAL_ARB,false,false,true,true,true,true,false
L2_UNKNOWN_GLOBAL,false,false,true,true,true,true,false
L3_FOUND,false,false,false,true,true,true,false
L3_ABSENT_ALT,false,false,false,true,true,false,false
L3_ABSENT_ARB,false,false,true,true,true,true,false
L3_UNKNOWN_LOCAL_ALT,false,false,false,true,true,false,false
L3_UNKNOWN_LOCAL_ARB,false,false,true,true,true,true,false
L3_UNKNOWN_GLOBAL,false,false,true,true,true,true,false
ALT_NEXT,false,false,false,true,false,true,false
ALT_DONE,false,false,true,true,false,true,false
ALT_GUARD,false,false,true,true,false,true,false
ARB_NAV,true,true,false,true,true,false,false
ARB_BACKUP,true,true,true,true,false,false,false
ARB_TERMINAL,true,true,true,false,false,false,false
ARB_EVAL_TERMINAL,true,true,false,false,false,false,false
ARB_BOUNDARY,true,true,true,false,false,false,false
BACKUP_COMMIT,false,false,true,true,false,true,false
TERM_ELIGIBLE,false,false,false,false,false,true,false
TERM_NOT_ELIGIBLE,false,false,false,false,false,true,false
TERM_UNKNOWN,false,false,false,false,false,true,false
