environment,state_id,cohort,group,immediate_min_distance_m,immediate_swept_collision
E1_REPLICA_GT_FINE,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,REPRESENTATIVE_HOLDOUT,,0.4753300258534169,False
E1_REPLICA_GT_FINE,02b145999e5475b5f73ab85539be45cdbcecbc2e4ff51edc10178fd1a57cafa2,REPRESENTATIVE_HOLDOUT,,0.41560803425659487,False
E1_REPLICA_GT_FINE,0722f797f394ad578c2f9a6f6dd0e3b791e2bb0d6749d512fb4e6a38af170e7b,REPRESENTATIVE_HOLDOUT,,0.6877435604734716,False
E1_REPLICA_GT_FINE,093f73b9f5eb9fb16c58e8e7316af135c0e14ce15c372404d029b6ab3edab683,REPRESENTATIVE_HOLDOUT,,0.48625858997294513,False
E1_REPLICA_GT_FINE,0a80081e9b4e0e3e951f9eef10620f5e34d9922a52db7850e1c45e9a0d9bee42,REPRESENTATIVE_HOLDOUT,,0.620286200611137,False
E1_REPLICA_GT_FINE,0aa90e8ccad37e81b2195c3905fc747f18f8a522c71c0a833d9de3fd767be83d,REPRESENTATIVE_HOLDOUT,,0.4723833157459409,False
E1_REPLICA_GT_FINE,0b121c60bd31b77c8f5575eed58adc1e7a55ae858050bc9c9fc9b9092c4cf0b7,REPRESENTATIVE_HOLDOUT,,0.38160434411349137,False
E1_REPLICA_GT_FINE,0de405729582eada3fa4a67b8dd7c0875a9d081e2d784efb7c5911dc17987035,REPRESENTATIVE_HOLDOUT,,0.5501842761035138,False
E1_REPLICA_GT_FINE,0fa0f752868922b62e138a9eb25a2f6a37be9f274c001aca0097a1b03104fffa,REPRESENTATIVE_HOLDOUT,,0.5100347016843638,False
E1_REPLICA_GT_FINE,12582840ae60f713f54a96de02be975353cdfd7834eb8cd93d4f79ba458c5aa3,REPRESENTATIVE_HOLDOUT,,0.38882716261568523,False
E1_REPLICA_GT_FINE,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,REPRESENTATIVE_HOLDOUT,,0.5456779970358058,False
