capture_group,group_identity_sha256,center_x_m,center_y_m,center_z_m
1477843918292135523,a8aaa9124b5ab060ec6468ad2811535739968b7cca6c700b3c13e2c208daf740,1.4208581225362713,8.147272127884655,-3.3124235803061874
1477843918365863523,fda23a4322bd3655841b7ac6ef973a63d1c6ba1acf2ba01a6fa0eec613f5df1a,1.3854459991553463,8.162325099062626,-3.3086870597063465
1477843918439591523,6c53b4f42a699dfd224057135d55d394c069e0ce91c315eeaf5026c72e97f6c2,1.3488779318452946,8.173695326874922,-3.304294014347497
1477843918513319523,9362d7d341b788fa58d9d81e3ef93493a5d61e670cc73f4fdce3bdf4673cbb74,1.3130781490760646,8.183795817359652,-3.3017524962786067
1477843918587047523,b3c922bc8020f7b05fd9bb30ef513e13c36f8c3020ed33f82c8e8f8a68755c60,1.277253997643232,8.192095984991008,-3.2996788001450645
1477843918660775523,3fa0541c90dcd83de53c1caa0ed8215fa65acf848edc159901dd98b447d16111,1.2411707687148035,8.198135310237216,-3.296722060682275
1477843918734503523,fb5aa0ab3d06a9b697f7d0ae5b91bc1b342060ad1cf5817d99a4ccbdc0274289,1.2040163204240124,8.200755157715072,-3.293181803702451
1477843918808231523,a079ca3a1303ce94c333c742557c44098c56c5297551dcdb598c96941018b00b,1.1626867366297922,8.205189092628038,-3.2918734970829453
1477843918881959523,4ec75bb394cfa59d144785e8667023687d9319bd0394514bf613326be86d7fc6,1.1224880723302515,8.20477250739539,-3.2882348563660586
1477843918955687523,056061be78296d5aa0addd764fdc4c7c77e16d5e1cd75326274bd9f9d36a73c1,1.0834480149579835,8.20598799880661,-3.285884591231944
1477843919029415523,f03f2ed1e67c9899153261b4b22113c6133438a1c62ddaf9c347f470ad55ddd9,1.045587209267777,8.207649179260414,-3.2844036598147275
1477843919103143523,0d026467fe831e9ebb97a4379006187a89478c2e2add0b4a6c89e94f79c7b4d4,1.00882558794646,8.208699187157922,-3.2830179316527257
1477843919176871523,6a9b6b19db1750986106b10f13347ece2b141b49f7d073e18c8d5da86f616f8a,0.974617504507189,8.21023680541411,-3.2825368129624155
1477843919250599523,a41582b495ae3dd9dcee80cf9d4b0cf5bd613bdb893b37bf8ab8105090913548,0.9397764638032331,8.214989292627351,-3.2848658520918077
1477843919324327523,754f16c9a92a7ca25d3505c3047177271ceb20b987cddef964237e4d0cb54853,0.9022759936023741,8.219025174919555,-3.2861088652045987
1477843919398055523,121974f8b5f35699bb77d8d8c155c4e3b9d0a9563fa8d9603be79294e5633007,0.8609487652707764,8.223584225716161,-3.2886946768407754
1477843919471783523,380f1ab58fd2d9f37243a8f5033bda0ccfe39c716c06b3cd572e39a8683e4433,0.8183936538272872,8.227763885676975,-3.2914483903974316
1477843919545511523,d9a9e1197e5abbd5ea826f889158b74865c739c62e2da2a871004325ac6e7e9c,0.7767542056965713,8.231926298697882,-3.2934239140253703
1477843919619239523,56d6dab79c6c10a614e0d6e576bb114f2e0ea6a9090059fa1c70aec221f7224d,0.7363995508536982,8.235970893456683,-3.292865382047393
