capture_group,group_identity_sha256,center_x_m,center_y_m,center_z_m
1477843917481127523,99f1dcd9c1f2e7a3c6a99be3de1f6352ae9182eac4a9c262d901736f3bff40ae,1.8164694144694555,8.005310338509194,-3.335609280560272
1477843917554855523,c80fcea3d58a8adaecab017f0b0c9cffa834164a72dfbe30fcea50e37dae78ce,1.783294310061138,8.011032972474828,-3.3360769242920614
1477843917628583523,aa99a30bd1270bdc978bb722d327f001a9e2ba1990978ac002195f6447b60fe4,1.7524170137092872,8.01546569893905,-3.332910906344242
1477843917702311523,51314323c7bc3360f5cea09b10ca44215df416ae837d81eb7831d6bbc5e8d92b,1.7206372870526663,8.023974884614336,-3.3319498130174328
1477843917776039523,bbd6d60cbe90c64578a59dbbb0ee92432bc0aa665852e7ff9392aa8c02c02556,1.6845726651896236,8.033487913580831,-3.3296905223516644
1477843917849767523,2e2a8326f63b44fa6d935dc73bdabf0022fe794b1db034b487057ec7394749c9,1.6466534099724655,8.045814114291812,-3.328282885923242
1477843917923495523,786aa446badd9fb04cd101e0f0ffd8dcf07f7ac997177d7c0066f33d5abc6d4b,1.6109332654209156,8.061364658060613,-3.327162927455727
1477843917997223523,0ed40cb9d5365aee3647765921cf959aa40196c431a7c06043236dd19c2bdb69,1.5745444553556172,8.078039670098176,-3.3231232757016147
1477843918070951523,41bec1e7847ae5fc029c7ff61a84a7d05ab0a5c8789c8186aba6092d3c1619d9,1.5353792907754127,8.093263392852812,-3.3205398666452646
1477843918144679523,8c15887954f7a59108f5e5779b5bf0e9fe1b982801dacd8046291ecc31c20094,1.4966972100568197,8.115152477309557,-3.3195498659164047
1477843922052263523,89cde9ae6e5fd34b11721df04692a43ece3ec7915d44d8ef8840fe9fc27c758f,-0.7404636901898052,8.034056053458585,-3.286930494237326
1477843922125991523,8ceb9823ffa98746dde61e2a4fe28199c8e8651a958a8f7b1e34d3a88a159d04,-0.7909649736154388,8.010360898178869,-3.286271852508337
1477843922199719523,e8558225c10d300898f63b7f78fb63176344bed822c8d1390d4ef7533591fd48,-0.8432255766574712,7.9879191472745354,-3.284413929358447
1477843922273447523,a346dc8f14b8e5d7e5b83383ee22f5fb582d21c721f5c5eb10edf92a9fc297f9,-0.8938704760850221,7.962113433715892,-3.280590997559683
1477843922347175523,21536647a25a941c60228845e7396da39b6773470959e52f51ea5707836b8925,-0.9457816108458612,7.9419537274658545,-3.283430382147586
1477843922420903523,ccdd08631029e95830b7061332730737c8b6c8cb68f1076a8e70e0ae622addc3,-0.9932563320608463,7.919757436789508,-3.286177320623188
1477843922494631523,779fef5ba6dcb0136f2e78fd5b85ba0dde4e8cf33938316bc264335f281cb08e,-1.0397048232513655,7.89854281377558,-3.2893837457506785
1477843922568359523,5cf0b377b1158cb0a85bcfd900f7ba10c1d47c352608e1c0fcf6e51ce1c02639,-1.0881948744332144,7.874692445252872,-3.290956975696117
1477843922642087523,af0586ea2937ff42f1556265e753a871edf9815717255ae8cd8e069029592bfd,-1.1330099594468561,7.852513321118613,-3.2962530992583265
1477843926549671523,9003b890279b9ca8e14fdf3129e06cba08382b67bb632359ccb2363a5b64106d,-1.2164240048850141,5.405523641057302,-3.284295066198656
1477843926623399523,e02fe0424c61a7ceae8a849add89eb036e95af409a42cf2e79edd1f119185bd7,-1.190916526253378,5.352012857514092,-3.2829303007638817
1477843926697127523,15af09d74b6823770cf8c57e71e52f7bb20caeb9f566ac2bb8c00b7cff3b7f32,-1.1683095343219168,5.295092682928115,-3.2838271197674747
1477843926770855523,c95498af58dd904322a8dbc48e697eb1043a06ac0a0e402983d359cf5b14ff2b,-1.1451188286450678,5.241621801617452,-3.2807117875274403
1477843926844583523,03056a64e9d683e2025f24ac7df223b02e5d8baf7056126ae911aa2e7ddecd0a,-1.123612531237371,5.1876660918527016,-3.2764829183661446
1477843926918311523,b2962d06ad2304b24baa16cecd10ddbde209568325a1ed51c94ef76721a84b05,-1.106922785065655,5.13623728643448,-3.2734813869760666
1477843926992039523,787c5992dadda969fe6ebba564dccd84dc5ce24c6b4d22bccf85ed845367778f,-1.092522798147924,5.094086221679991,-3.268551742503347
1477843927065767523,42b4079103fc02d8adf7470f80ed0afaf67b81ec888b089693c2697d58025136,-1.081461514178203,5.049445157566857,-3.2662882894590606
