row_id,source_kind,source_run_id,trial_id,step_id,environment,cohort,method,candidate_id,candidate_role,stored_l1_status,l2_reached,l2_status,reason_code,p_k1,p_k2,formal_value_or_bound,formal_backend_status,formal_backend_reason,backend_identity,backend_class,map_snapshot_id,controller_authority,controller_intervention
78be924b2a80215e5f87d77206074676479649b15da07fad3dfd2691ab893f25,PR87_ACTIVATED_ONE_STEP,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B1_PLUS_SWEPT_SEGMENT:16673c25ede2d2bf022e1f9eec4dd83dbb8d880d94572d25a91ed1ad0cc30e72,ONE_STEP:0,E1_REPLICA_GT_FINE,ACTIVATED,B1_PLUS_SWEPT_SEGMENT,PRIMARY-CBF-FILTERED,EXECUTED_OR_SELECTED_HISTORICAL_CANDIDATE,PASS,True,PASS,FORMAL_SEGMENT_SAFE,"[1.0924842643984611,0.1667430113307799,1.834112622716083]","[1.0902688873965947,0.162800055805034,1.8366124832203576]",0.0006729894112361499,CERTIFIED_SAFE,SEGMENT_EXACT_SAFE,EXACT_ANALYTIC_SPHERE_SEGMENT_MINIMUM,EXACT_ANALYTIC,3b318a98a454ec5c36410b3c41dfb3dd4a25b7b5a1899f1f2c939fbf24ad0e55,False,False
10bcadd31eede99f6cf69bae583b38226d8379ab65c502dd23da1679d4aeff0d,PR87_ACTIVATED_ONE_STEP,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B2_PLUS_TERMINAL_BACKUP:16673c25ede2d2bf022e1f9eec4dd83dbb8d880d94572d25a91ed1ad0cc30e72,ONE_STEP:0,E1_REPLICA_GT_FINE,ACTIVATED,B2_PLUS_TERMINAL_BACKUP,PRIMARY-CBF-FILTERED,EXECUTED_OR_SELECTED_HISTORICAL_CANDIDATE,PASS,True,PASS,FORMAL_SEGMENT_SAFE,"[1.0924842643984611,0.1667430113307799,1.834112622716083]","[1.0902688873965947,0.162800055805034,1.8366124832203576]",0.0006729894112361499,CERTIFIED_SAFE,SEGMENT_EXACT_SAFE,EXACT_ANALYTIC_SPHERE_SEGMENT_MINIMUM,EXACT_ANALYTIC,3b318a98a454ec5c36410b3c41dfb3dd4a25b7b5a1899f1f2c939fbf24ad0e55,False,False
ed0fb9fde035f41fc26f15cf8e1f4f3a338fc611941b208f856f09e8cf101976,PR87_ACTIVATED_ONE_STEP,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES:16673c25ede2d2bf022e1f9eec4dd83dbb8d880d94572d25a91ed1ad0cc30e72,ONE_STEP:0,E1_REPLICA_GT_FINE,ACTIVATED,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,PRIMARY-CBF-FILTERED,EXECUTED_OR_SELECTED_HISTORICAL_CANDIDATE,PASS,True,PASS,FORMAL_SEGMENT_SAFE,"[1.0924842643984611,0.1667430113307799,1.834112622716083]","[1.0902688873965947,0.162800055805034,1.8366124832203576]",0.0006729894112361499,CERTIFIED_SAFE,SEGMENT_EXACT_SAFE,EXACT_ANALYTIC_SPHERE_SEGMENT_MINIMUM,EXACT_ANALYTIC,3b318a98a454ec5c36410b3c41dfb3dd4a25b7b5a1899f1f2c939fbf24ad0e55,False,False
5cfbf6a12292d080885b6f5590fa49492a734dae65879412f714eebc8b5d836b,PR87_ACTIVATED_ONE_STEP,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B1_PLUS_SWEPT_SEGMENT:1b08529e208b7a95585f65dbd64a2139c0a5a068f61de72ce2ddf12ea248dfa1,ONE_STEP:0,E1_REPLICA_GT_FINE,ACTIVATED,B1_PLUS_SWEPT_SEGMENT,PRIMARY-CBF-FILTERED,EXECUTED_OR_SELECTED_HISTORICAL_CANDIDATE,PASS,True,PASS,FORMAL_SEGMENT_SAFE,"[1.0901617893852618,0.16835937547330734,1.8352180323813903]","[1.089420445102406,0.16718613660199746,1.8360304975077135]",0.0001733056851265114,CERTIFIED_SAFE,SEGMENT_EXACT_SAFE,EXACT_ANALYTIC_SPHERE_SEGMENT_MINIMUM,EXACT_ANALYTIC,3b318a98a454ec5c36410b3c41dfb3dd4a25b7b5a1899f1f2c939fbf24ad0e55,False,False
7192953f66826af44e8686e371d90c85183e75f7ec2ab5bb2660b9febf0e2acd,PR87_ACTIVATED_ONE_STEP,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B2_PLUS_TERMINAL_BACKUP:1b08529e208b7a95585f65dbd64a2139c0a5a068f61de72ce2ddf12ea248dfa1,ONE_STEP:0,E1_REPLICA_GT_FINE,ACTIVATED,B2_PLUS_TERMINAL_BACKUP,PRIMARY-CBF-FILTERED,EXECUTED_OR_SELECTED_HISTORICAL_CANDIDATE,PASS,True,PASS,FORMAL_SEGMENT_SAFE,"[1.0901617893852618,0.16835937547330734,1.8352180323813903]","[1.089420445102406,0.16718613660199746,1.8360304975077135]",0.0001733056851265114,CERTIFIED_SAFE,SEGMENT_EXACT_SAFE,EXACT_ANALYTIC_SPHERE_SEGMENT_MINIMUM,EXACT_ANALYTIC,3b318a98a454ec5c36410b3c41dfb3dd4a25b7b5a1899f1f2c939fbf24ad0e55,False,False
8cac84fe449b29937d3d051f1626088256ffa6809d64463935a482bf144641e4,PR87_ACTIVATED_ONE_STEP,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES:1b08529e208b7a95585f65dbd64a2139c0a5a068f61de72ce2ddf12ea248dfa1,ONE_STEP:0,E1_REPLICA_GT_FINE,ACTIVATED,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,PRIMARY-CBF-FILTERED,EXECUTED_OR_SELECTED_HISTORICAL_CANDIDATE,PASS,True,PASS,FORMAL_SEGMENT_SAFE,"[1.0901617893852618,0.16835937547330734,1.8352180323813903]","[1.089420445102406,0.16718613660199746,1.8360304975077135]",0.0001733056851265114,CERTIFIED_SAFE,SEGMENT_EXACT_SAFE,EXACT_ANALYTIC_SPHERE_SEGMENT_MINIMUM,EXACT_ANALYTIC,3b318a98a454ec5c36410b3c41dfb3dd4a25b7b5a1899f1f2c939fbf24ad0e55,False,False
a1397f35ef73f64dfe7301ba292f09828393291a6e08b85fa93d3b60ac1cee41,PR87_ACTIVATED_ONE_STEP,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B1_PLUS_SWEPT_SEGMENT:268bfa7aff7902e7c03489a2ef13d2cd844a637d02376c677b5405b93fd40600,ONE_STEP:0,E1_REPLICA_GT_FINE,ACTIVATED,B1_PLUS_SWEPT_SEGMENT,PRIMARY-CBF-FILTERED,EXECUTED_OR_SELECTED_HISTORICAL_CANDIDATE,PASS,True,PASS,FORMAL_SEGMENT_SAFE,"[1.0910971249369241,0.168153627931251,1.834657214813886]","[1.0912653720546333,0.16678492899846034,1.8349369020866357]",0.00027751667016566797,CERTIFIED_SAFE,SEGMENT_EXACT_SAFE,EXACT_ANALYTIC_SPHERE_SEGMENT_MINIMUM,EXACT_ANALYTIC,3b318a98a454ec5c36410b3c41dfb3dd4a25b7b5a1899f1f2c939fbf24ad0e55,False,False
b00fda5f038211ca8c8931073c709b8cf720fa5d21935d9446041e5ad1bdf351,PR87_ACTIVATED_ONE_STEP,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B2_PLUS_TERMINAL_BACKUP:268bfa7aff7902e7c03489a2ef13d2cd844a637d02376c677b5405b93fd40600,ONE_STEP:0,E1_REPLICA_GT_FINE,ACTIVATED,B2_PLUS_TERMINAL_BACKUP,PRIMARY-CBF-FILTERED,EXECUTED_OR_SELECTED_HISTORICAL_CANDIDATE,PASS,True,PASS,FORMAL_SEGMENT_SAFE,"[1.0910971249369241,0.168153627931251,1.834657214813886]","[1.0912653720546333,0.16678492899846034,1.8349369020866357]",0.00027751667016566797,CERTIFIED_SAFE,SEGMENT_EXACT_SAFE,EXACT_ANALYTIC_SPHERE_SEGMENT_MINIMUM,EXACT_ANALYTIC,3b318a98a454ec5c36410b3c41dfb3dd4a25b7b5a1899f1f2c939fbf24ad0e55,False,False
b363db58d8a55219957bc5ebf6480cf0d17b867a98da05f467ed176cb8987ef4,PR87_ACTIVATED_ONE_STEP,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES:268bfa7aff7902e7c03489a2ef13d2cd844a637d02376c677b5405b93fd40600,ONE_STEP:0,E1_REPLICA_GT_FINE,ACTIVATED,B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES,PRIMARY-CBF-FILTERED,EXECUTED_OR_SELECTED_HISTORICAL_CANDIDATE,PASS,True,PASS,FORMAL_SEGMENT_SAFE,"[1.0910971249369241,0.168153627931251,1.834657214813886]","[1.0912653720546333,0.16678492899846034,1.8349369020866357]",0.00027751667016566797,CERTIFIED_SAFE,SEGMENT_EXACT_SAFE,EXACT_ANALYTIC_SPHERE_SEGMENT_MINIMUM,EXACT_ANALYTIC,3b318a98a454ec5c36410b3c41dfb3dd4a25b7b5a1899f1f2c939fbf24ad0e55,False,False
c46a406de3e7dfd6891f49b3ce28c65842b88fe71ac8a233deed87f6c09cf633,PR87_ACTIVATED_ONE_STEP,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B1_PLUS_SWEPT_SEGMENT:27516cd9f03702e7e24f3433449198d5bd7f637a2b86a8733264955cfeaf1715,ONE_STEP:0,E1_REPLICA_GT_FINE,ACTIVATED,B1_PLUS_SWEPT_SEGMENT,PRIMARY-CBF-FILTERED,EXECUTED_OR_SELECTED_HISTORICAL_CANDIDATE,PASS,True,PASS,FORMAL_SEGMENT_SAFE,"[1.089127380368456,0.16641571467595256,1.8364021694894894]","[1.087403347525233,0.1633959980393235,1.838339564868457]",0.0005265324177932459,CERTIFIED_SAFE,SEGMENT_EXACT_SAFE,EXACT_ANALYTIC_SPHERE_SEGMENT_MINIMUM,EXACT_ANALYTIC,3b318a98a454ec5c36410b3c41dfb3dd4a25b7b5a1899f1f2c939fbf24ad0e55,False,False
