row_id,source_kind,environment,trial_id,candidate_id,candidate_role,replayability_class,replayability_reasons,l2_reached,l2_reachability_evidence,primary_analysis_eligible
08643de5354d1d82e4fd46f35c44c9acebe6056b90c6938da76257ed10a380bd,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:16673c25ede2d2bf022e1f9eec4dd83dbb8d880d94572d25a91ed1ad0cc30e72,PRIMARY-CBF-FILTERED,EXECUTED_OR_SELECTED_HISTORICAL_CANDIDATE,FORMAL_REPLAYABLE,,,STORED_HISTORICAL_SEGMENT_NOT_EVALUATED,False
78be924b2a80215e5f87d77206074676479649b15da07fad3dfd2691ab893f25,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE,E1_REPLICA_GT_FINE:B1_PLUS_SWEPT_SEGMENT:16673c25ede2d2bf022e1f9eec4dd83dbb8d880d94572d25a91ed1ad0cc30e72,PRIMARY-CBF-FILTERED,EXECUTED_OR_SELECTED_HISTORICAL_CANDIDATE,FORMAL_REPLAYABLE,,True,STORED_HISTORICAL_SEGMENT_LOWER_BOUND,True
10bcadd31eede99f6cf69bae583b38226d8379ab65c502dd23da1679d4aeff0d,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE,E1_REPLICA_GT_FINE:B2_PLUS_TERMINAL_BACKUP:16673c25ede2d2bf022e1f9eec4dd83dbb8d880d94572d25a91ed1ad0cc30e72,PRIMARY-CBF-FILTERED,EXECUTED_OR_SELECTED_HISTORICAL_CANDIDATE,FORMAL_REPLAYABLE,,True,STORED_HISTORICAL_SEGMENT_LOWER_BOUND,True
20a71cb99ba1f853e2ffee1a8c939e965510b16b3f70359cea585458d9621a46,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE,E1_REPLICA_GT_FINE:B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES:16673c25ede2d2bf022e1f9eec4dd83dbb8d880d94572d25a91ed1ad0cc30e72,ALT-01-OUTWARD,LOGGED_NONEXECUTED_HISTORICAL_CANDIDATE,FORMAL_REPLAYABLE,,,CANDIDATE_LOGGED_NOT_EVALUATED,False
045a8dad93906a73bd4f2ea110078ef5024f0968a2e9042385d4d590e643067c,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE,E1_REPLICA_GT_FINE:B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES:16673c25ede2d2bf022e1f9eec4dd83dbb8d880d94572d25a91ed1ad0cc30e72,ALT-02-GOAL-TANGENT,LOGGED_NONEXECUTED_HISTORICAL_CANDIDATE,FORMAL_REPLAYABLE,,,CANDIDATE_LOGGED_NOT_EVALUATED,False
dc1d6398d9bf6ab69cc5d6ee48f4bcf1f93aba6e114fc58c7c421cb9bc2d29d1,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE,E1_REPLICA_GT_FINE:B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES:16673c25ede2d2bf022e1f9eec4dd83dbb8d880d94572d25a91ed1ad0cc30e72,ALT-03-AUX-TANGENT-POS,LOGGED_NONEXECUTED_HISTORICAL_CANDIDATE,FORMAL_REPLAYABLE,,,CANDIDATE_LOGGED_NOT_EVALUATED,False
c39433ba904acfb30dc2232d68c76fa1f9b169ae1dcb0728514398094d6906d7,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE,E1_REPLICA_GT_FINE:B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES:16673c25ede2d2bf022e1f9eec4dd83dbb8d880d94572d25a91ed1ad0cc30e72,ALT-04-AUX-TANGENT-NEG,LOGGED_NONEXECUTED_HISTORICAL_CANDIDATE,FORMAL_REPLAYABLE,,,CANDIDATE_LOGGED_NOT_EVALUATED,False
adad03cae382bb17a68b18e600940866c66ff78866d8ed751aaa9625c221f06f,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE,E1_REPLICA_GT_FINE:B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES:16673c25ede2d2bf022e1f9eec4dd83dbb8d880d94572d25a91ed1ad0cc30e72,ALT-05-BRAKE-BIASED-GOAL-TANGENT,LOGGED_NONEXECUTED_HISTORICAL_CANDIDATE,FORMAL_REPLAYABLE,,,CANDIDATE_LOGGED_NOT_EVALUATED,False
a20132173b029b5f35f68feb370465b600436c43592a932b64e0722cb61bb828,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE,E1_REPLICA_GT_FINE:B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES:16673c25ede2d2bf022e1f9eec4dd83dbb8d880d94572d25a91ed1ad0cc30e72,ALT-06-BRAKE-BIASED-OUTWARD,LOGGED_NONEXECUTED_HISTORICAL_CANDIDATE,FORMAL_REPLAYABLE,,,CANDIDATE_LOGGED_NOT_EVALUATED,False
ed0fb9fde035f41fc26f15cf8e1f4f3a338fc611941b208f856f09e8cf101976,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE,E1_REPLICA_GT_FINE:B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES:16673c25ede2d2bf022e1f9eec4dd83dbb8d880d94572d25a91ed1ad0cc30e72,PRIMARY-CBF-FILTERED,EXECUTED_OR_SELECTED_HISTORICAL_CANDIDATE,FORMAL_REPLAYABLE,,True,STORED_HISTORICAL_SEGMENT_LOWER_BOUND,True
ff36cde3fe4dde339735f1c6af3144e39e9f893d4bc5cd1e5d9a3ecd41843518,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:1b08529e208b7a95585f65dbd64a2139c0a5a068f61de72ce2ddf12ea248dfa1,PRIMARY-CBF-FILTERED,EXECUTED_OR_SELECTED_HISTORICAL_CANDIDATE,FORMAL_REPLAYABLE,,,STORED_HISTORICAL_SEGMENT_NOT_EVALUATED,False
5cfbf6a12292d080885b6f5590fa49492a734dae65879412f714eebc8b5d836b,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE,E1_REPLICA_GT_FINE:B1_PLUS_SWEPT_SEGMENT:1b08529e208b7a95585f65dbd64a2139c0a5a068f61de72ce2ddf12ea248dfa1,PRIMARY-CBF-FILTERED,EXECUTED_OR_SELECTED_HISTORICAL_CANDIDATE,FORMAL_REPLAYABLE,,True,STORED_HISTORICAL_SEGMENT_LOWER_BOUND,True
7192953f66826af44e8686e371d90c85183e75f7ec2ab5bb2660b9febf0e2acd,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE,E1_REPLICA_GT_FINE:B2_PLUS_TERMINAL_BACKUP:1b08529e208b7a95585f65dbd64a2139c0a5a068f61de72ce2ddf12ea248dfa1,PRIMARY-CBF-FILTERED,EXECUTED_OR_SELECTED_HISTORICAL_CANDIDATE,FORMAL_REPLAYABLE,,True,STORED_HISTORICAL_SEGMENT_LOWER_BOUND,True
1883ab597bd7b3f521028a49fe68ddffc8e3704a2263003a6f2e47c65470feda,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE,E1_REPLICA_GT_FINE:B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES:1b08529e208b7a95585f65dbd64a2139c0a5a068f61de72ce2ddf12ea248dfa1,ALT-01-OUTWARD,LOGGED_NONEXECUTED_HISTORICAL_CANDIDATE,FORMAL_REPLAYABLE,,,CANDIDATE_LOGGED_NOT_EVALUATED,False
615d2a38388d9fefcd2d4f2daeb18e95b3e3235a9b39cf72303527e03ac73ba9,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE,E1_REPLICA_GT_FINE:B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES:1b08529e208b7a95585f65dbd64a2139c0a5a068f61de72ce2ddf12ea248dfa1,ALT-02-GOAL-TANGENT,LOGGED_NONEXECUTED_HISTORICAL_CANDIDATE,FORMAL_REPLAYABLE,,,CANDIDATE_LOGGED_NOT_EVALUATED,False
f987dc1675675414274953a766fc917abdc91d3f3d8456aec2f57b4cb81754ab,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE,E1_REPLICA_GT_FINE:B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES:1b08529e208b7a95585f65dbd64a2139c0a5a068f61de72ce2ddf12ea248dfa1,ALT-03-AUX-TANGENT-POS,LOGGED_NONEXECUTED_HISTORICAL_CANDIDATE,FORMAL_REPLAYABLE,,,CANDIDATE_LOGGED_NOT_EVALUATED,False
bcb00130e618b2c5e2f27c7237a63dfc3a42ed2a9c14b8fed7d21956044e4899,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE,E1_REPLICA_GT_FINE:B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES:1b08529e208b7a95585f65dbd64a2139c0a5a068f61de72ce2ddf12ea248dfa1,ALT-04-AUX-TANGENT-NEG,LOGGED_NONEXECUTED_HISTORICAL_CANDIDATE,FORMAL_REPLAYABLE,,,CANDIDATE_LOGGED_NOT_EVALUATED,False
85b1cec54c6dc4e36858457d54de95a189747d3574d6ee461a757a75761f7d5e,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE,E1_REPLICA_GT_FINE:B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES:1b08529e208b7a95585f65dbd64a2139c0a5a068f61de72ce2ddf12ea248dfa1,ALT-05-BRAKE-BIASED-GOAL-TANGENT,LOGGED_NONEXECUTED_HISTORICAL_CANDIDATE,FORMAL_REPLAYABLE,,,CANDIDATE_LOGGED_NOT_EVALUATED,False
7280b66b30a45621e216ec85a92c73e99421ee7ae87136451321a1e2104e517f,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE,E1_REPLICA_GT_FINE:B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES:1b08529e208b7a95585f65dbd64a2139c0a5a068f61de72ce2ddf12ea248dfa1,ALT-06-BRAKE-BIASED-OUTWARD,LOGGED_NONEXECUTED_HISTORICAL_CANDIDATE,FORMAL_REPLAYABLE,,,CANDIDATE_LOGGED_NOT_EVALUATED,False
8cac84fe449b29937d3d051f1626088256ffa6809d64463935a482bf144641e4,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE,E1_REPLICA_GT_FINE:B3_FULL_UNIFIED_WITH_DIRECTIONAL_ALTERNATIVES:1b08529e208b7a95585f65dbd64a2139c0a5a068f61de72ce2ddf12ea248dfa1,PRIMARY-CBF-FILTERED,EXECUTED_OR_SELECTED_HISTORICAL_CANDIDATE,FORMAL_REPLAYABLE,,True,STORED_HISTORICAL_SEGMENT_LOWER_BOUND,True
