frame_index,processed_rgb_path,processed_depth_path,historical_raw_rgb_path,historical_raw_depth_path,rgb_timestamp,depth_timestamp,rgb_depth_offset_s,rgb_exists,depth_exists,path_unique,pose_record_present,association_policy,association_tolerance_s
0,images/0000.png,depth/0000.png,rgb/1305031910.765238.png,depth/1305031910.771502.png,1305031910.765238,1305031910.771502,0.0062639713287353516,True,True,True,True,historical_nearest_timestamp_no_reassociation,0.02
1,images/0001.png,depth/0001.png,rgb/1305031910.935211.png,depth/1305031910.935221.png,1305031910.935211,1305031910.935221,1.0013580322265625e-05,True,True,True,True,historical_nearest_timestamp_no_reassociation,0.02
2,images/0002.png,depth/0002.png,rgb/1305031911.065269.png,depth/1305031911.074509.png,1305031911.065269,1305031911.074509,0.009239912033081055,True,True,True,True,historical_nearest_timestamp_no_reassociation,0.02
3,images/0003.png,depth/0003.png,rgb/1305031911.235651.png,depth/1305031911.235660.png,1305031911.235651,1305031911.23566,9.059906005859375e-06,True,True,True,True,historical_nearest_timestamp_no_reassociation,0.02
4,images/0004.png,depth/0004.png,rgb/1305031911.365235.png,depth/1305031911.371631.png,1305031911.365235,1305031911.371631,0.006395816802978516,True,True,True,True,historical_nearest_timestamp_no_reassociation,0.02
5,images/0005.png,depth/0005.png,rgb/1305031911.533251.png,depth/1305031911.539636.png,1305031911.533251,1305031911.539636,0.006384849548339844,True,True,True,True,historical_nearest_timestamp_no_reassociation,0.02
6,images/0006.png,depth/0006.png,rgb/1305031911.665124.png,depth/1305031911.671469.png,1305031911.665124,1305031911.671469,0.006345033645629883,True,True,True,True,historical_nearest_timestamp_no_reassociation,0.02
7,images/0007.png,depth/0007.png,rgb/1305031911.833338.png,depth/1305031911.839611.png,1305031911.833338,1305031911.839611,0.006273031234741211,True,True,True,True,historical_nearest_timestamp_no_reassociation,0.02
8,images/0008.png,depth/0008.png,rgb/1305031911.965140.png,depth/1305031911.972044.png,1305031911.96514,1305031911.972044,0.006903886795043945,True,True,True,True,historical_nearest_timestamp_no_reassociation,0.02
9,images/0009.png,depth/0009.png,rgb/1305031912.133282.png,depth/1305031912.139831.png,1305031912.133282,1305031912.139831,0.00654911994934082,True,True,True,True,historical_nearest_timestamp_no_reassociation,0.02
10,images/0010.png,depth/0010.png,rgb/1305031912.297250.png,depth/1305031912.303877.png,1305031912.29725,1305031912.303877,0.006627082824707031,True,True,True,True,historical_nearest_timestamp_no_reassociation,0.02
11,images/0011.png,depth/0011.png,rgb/1305031912.433290.png,depth/1305031912.438048.png,1305031912.43329,1305031912.438048,0.004757881164550781,True,True,True,True,historical_nearest_timestamp_no_reassociation,0.02
12,images/0012.png,depth/0012.png,rgb/1305031912.597090.png,depth/1305031912.607722.png,1305031912.59709,1305031912.607722,0.010632038116455078,True,True,True,True,historical_nearest_timestamp_no_reassociation,0.02
13,images/0013.png,depth/0013.png,rgb/1305031912.733125.png,depth/1305031912.740310.png,1305031912.733125,1305031912.74031,0.0071849822998046875,True,True,True,True,historical_nearest_timestamp_no_reassociation,0.02
