video_id,timestamp,rgb,depth,confidence,intrinsics,pose_timestamp,pose_delta_s,intrinsics_timestamp,intrinsics_delta_s,width,height,fx,fy,cx,cy,c2w_00,c2w_01,c2w_02,c2w_03,c2w_10,c2w_11,c2w_12,c2w_13,c2w_20,c2w_21,c2w_22,c2w_23,c2w_30,c2w_31,c2w_32,c2w_33
42899163,182678.748,lowres_wide/42899163_182678.748.png,lowres_depth/42899163_182678.748.png,confidence/42899163_182678.748.png,lowres_wide_intrinsics/42899163_182678.748.pincam,182678.74830871,0.00030871,182678.748,0.000,256,192,212.69,212.69,127.091,98.9421,-0.00452872067954,-0.99983593058,-0.017538603444,0.0550964978647,-0.877120572307,-0.00445140370578,0.480249608683,0.0473279633397,-0.480248885813,0.0175583862244,-0.876956504479,0.0235291603872,0,0,0,1
42899163,182678.832,lowres_wide/42899163_182678.832.png,lowres_depth/42899163_182678.832.png,confidence/42899163_182678.832.png,lowres_wide_intrinsics/42899163_182678.832.pincam,182678.83160750,0.00039250,182678.832,0.000,256,192,212.69,212.69,127.091,98.9422,-0.00512106477641,-0.999857054737,-0.0161134970945,0.0545602213227,-0.877771348165,-0.00322481320761,0.479068952157,0.0481259067018,-0.479052434538,0.0165973092047,-0.877629360431,0.023179616185,0,0,0,1
42899163,182678.932,lowres_wide/42899163_182678.932.png,lowres_depth/42899163_182678.932.png,confidence/42899163_182678.932.png,lowres_wide_intrinsics/42899163_182678.932.pincam,182678.93156608,0.00043392,182678.932,0.000,256,192,212.69,212.69,127.085,98.9412,-0.00504424693468,-0.999934152082,-0.0103076221113,0.0544310695092,-0.873350802901,-0.000615397120428,0.487091363462,0.0472553090833,-0.48706563279,0.0114591791639,-0.873290190353,0.0279920675929,0,0,0,1
42899163,182679.032,lowres_wide/42899163_182679.032.png,lowres_depth/42899163_182679.032.png,confidence/42899163_182679.032.png,lowres_wide_intrinsics/42899163_182679.032.pincam,182679.03152458,0.00047542,182679.032,0.000,256,192,212.69,212.69,127.081,98.9374,0.00268527235466,-0.999992520332,0.0027836293818,0.0530389436327,-0.870043967136,-0.000964057567602,0.492973189782,0.0486667251606,-0.492966818927,-0.00374564722849,-0.870040048253,0.0346630497769,0,0,0,1
42899163,182679.131,lowres_wide/42899163_182679.131.png,lowres_depth/42899163_182679.131.png,confidence/42899163_182679.131.png,lowres_wide_intrinsics/42899163_182679.131.pincam,182679.13148296,0.00048296,182679.131,0.000,256,192,212.69,212.69,127.084,98.9382,0.0040417782651,-0.999957701929,-0.00826186306602,0.0525066375192,-0.869655230751,-0.00759334011762,0.493601175863,0.0500657426879,-0.493643032621,0.00518994592688,-0.86964913661,0.0433304711356,0,0,0,1
42899163,182679.231,lowres_wide/42899163_182679.231.png,lowres_depth/42899163_182679.231.png,confidence/42899163_182679.231.png,lowres_wide_intrinsics/42899163_182679.231.pincam,182679.23144146,0.00044146,182679.231,0.000,256,192,212.69,212.69,127.076,98.9452,0.00288587518486,-0.999535234635,-0.0303477585141,0.0536096412439,-0.862667576156,-0.0178373192156,0.505456707436,0.0500656920399,-0.505763111321,0.0247213423101,-0.862318114422,0.0553798031246,0,0,0,1
42899163,182679.331,lowres_wide/42899163_182679.331.png,lowres_depth/42899163_182679.331.png,confidence/42899163_182679.331.png,lowres_wide_intrinsics/42899163_182679.331.pincam,182679.33140012,0.00040012,182679.331,0.000,256,192,212.69,212.69,127.067,98.9453,0.00919382579005,-0.99941226907,-0.03302408212,0.0519527759767,-0.853316376968,-0.0250586133511,0.520790962571,0.0509129847265,-0.521312415319,0.0233919287244,-0.853045241065,0.0705307604878,0,0,0,1
42899163,182679.431,lowres_wide/42899163_182679.431.png,lowres_depth/42899163_182679.431.png,confidence/42899163_182679.431.png,lowres_wide_intrinsics/42899163_182679.431.pincam,182679.43135838,0.00035838,182679.431,0.000,256,192,212.69,212.69,127.053,98.9452,0.00196104586535,-0.999333392725,-0.0364544165279,0.0540218108132,-0.839065578014,-0.0214766097357,0.543606209518,0.0541115290119,-0.54402675494,0.0295216093656,-0.838548367412,0.0923063386591,0,0,0,1
42899163,182679.531,lowres_wide/42899163_182679.531.png,lowres_depth/42899163_182679.531.png,confidence/42899163_182679.531.png,lowres_wide_intrinsics/42899163_182679.531.pincam,182679.53131721,0.00031721,182679.531,0.000,256,192,212.69,212.69,127.038,98.9464,-0.0012600677285,-0.99910125256,-0.0423686129354,0.0547409595757,-0.820754551759,-0.0231710840819,0.57081088517,0.0553888696842,-0.571279597041,0.0354934922939,-0.819987703572,0.114504974643,0,0,0,1
42899163,182679.631,lowres_wide/42899163_182679.631.png,lowres_depth/42899163_182679.631.png,confidence/42899163_182679.631.png,lowres_wide_intrinsics/42899163_182679.631.pincam,182679.63127562,0.00027562,182679.631,0.000,256,192,212.69,212.69,127.023,98.9478,-0.00114223363693,-0.998679051174,-0.0513697191744,0.0534347839982,-0.802723727256,-0.0297186835274,0.595610122101,0.0588939532752,-0.596349992037,0.0419160183597,-0.801629424611,0.135452993016,0,0,0,1
