environment,state_id,represented_nearest_obstacle_proxy_m,reference_clearance_m,route_curvature,velocity_magnitude,one_step_displacement_m,one_step_displacement_over_reference_clearance,stopping_horizon,stopping_distance_proxy_m,stopping_distance_over_reference_clearance,local_gaussian_count,scale_statistics,covariance_anisotropy,opacity_statistics,active_primitive_count,unknown,map_reference_disagreement,goal_distance_m,route_trial_phase,map_type,reference_tier,any_incremental_activation
E1_REPLICA_GT_FINE,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,0.4526164512769013,0.47559818622749234,NOT_EVALUABLE,0.025,0.0012500000000000002,0.002628269064512557,5,0.0012500000000000002,0.002628269064512557,,ENVIRONMENT_LEVEL_ONLY,NOT_EVALUATED,NOT_EVALUATED,,False,False,0.5048100928353011,0.5,GT-derived isotropic spheres,TIER_R3_REFERENCE_COMPLETE,False
E1_REPLICA_GT_FINE,02b145999e5475b5f73ab85539be45cdbcecbc2e4ff51edc10178fd1a57cafa2,0.3895556094066358,0.41560803425659487,NOT_EVALUABLE,0.0,0.0,0.0,0,0.0,0.0,,ENVIRONMENT_LEVEL_ONLY,NOT_EVALUATED,NOT_EVALUATED,,False,False,0.4896773537930102,0.25,GT-derived isotropic spheres,TIER_R3_REFERENCE_COMPLETE,False
E1_REPLICA_GT_FINE,0722f797f394ad578c2f9a6f6dd0e3b791e2bb0d6749d512fb4e6a38af170e7b,0.6632169172448924,0.6877435604734716,NOT_EVALUABLE,0.10000000000000002,0.005000000000000001,0.007270151677694794,18,0.005000000000000001,0.007270151677694794,,ENVIRONMENT_LEVEL_ONLY,NOT_EVALUATED,NOT_EVALUATED,,False,False,0.2647843154526717,0.75,GT-derived isotropic spheres,TIER_R3_REFERENCE_COMPLETE,False
E1_REPLICA_GT_FINE,093f73b9f5eb9fb16c58e8e7316af135c0e14ce15c372404d029b6ab3edab683,0.46052594423823917,0.48780313910744544,NOT_EVALUABLE,0.1,0.005000000000000001,0.010250036539635063,20,0.005000000000000001,0.010250036539635063,,ENVIRONMENT_LEVEL_ONLY,NOT_EVALUATED,NOT_EVALUATED,,False,False,0.8339657750902423,0.5,GT-derived isotropic spheres,TIER_R3_REFERENCE_COMPLETE,False
E1_REPLICA_GT_FINE,0a80081e9b4e0e3e951f9eef10620f5e34d9922a52db7850e1c45e9a0d9bee42,0.5981907305939725,0.620286200611137,NOT_EVALUABLE,0.075,0.00375,0.006045596365524998,15,0.00375,0.006045596365524998,,ENVIRONMENT_LEVEL_ONLY,NOT_EVALUATED,NOT_EVALUATED,,False,False,0.2738249336999206,0.75,GT-derived isotropic spheres,TIER_R3_REFERENCE_COMPLETE,False
E1_REPLICA_GT_FINE,0aa90e8ccad37e81b2195c3905fc747f18f8a522c71c0a833d9de3fd767be83d,0.4451838630972446,0.4723833157459409,NOT_EVALUABLE,0.0,0.0,0.0,0,0.0,0.0,,ENVIRONMENT_LEVEL_ONLY,NOT_EVALUATED,NOT_EVALUATED,,False,False,0.40646620740591516,0.25,GT-derived isotropic spheres,TIER_R3_REFERENCE_COMPLETE,False
E1_REPLICA_GT_FINE,0b121c60bd31b77c8f5575eed58adc1e7a55ae858050bc9c9fc9b9092c4cf0b7,0.35953565019525147,0.38211136537032825,NOT_EVALUABLE,0.07499999999999998,0.0037499999999999994,0.009813892859129269,15,0.0037499999999999994,0.009813892859129269,,ENVIRONMENT_LEVEL_ONLY,NOT_EVALUATED,NOT_EVALUATED,,False,False,0.6453299488985148,0.25,GT-derived isotropic spheres,TIER_R3_REFERENCE_COMPLETE,False
E1_REPLICA_GT_FINE,0de405729582eada3fa4a67b8dd7c0875a9d081e2d784efb7c5911dc17987035,0.5228393717776723,0.5506341622531978,NOT_EVALUABLE,0.075,0.00375,0.0068103293567093265,15,0.00375,0.0068103293567093265,,ENVIRONMENT_LEVEL_ONLY,NOT_EVALUATED,NOT_EVALUATED,,False,False,0.4836382297108149,0.5,GT-derived isotropic spheres,TIER_R3_REFERENCE_COMPLETE,False
E1_REPLICA_GT_FINE,0fa0f752868922b62e138a9eb25a2f6a37be9f274c001aca0097a1b03104fffa,0.49712283601892593,0.5100347016843638,NOT_EVALUABLE,0.025,0.0012500000000000002,0.0024508136326252673,5,0.0012500000000000002,0.0024508136326252673,,ENVIRONMENT_LEVEL_ONLY,NOT_EVALUATED,NOT_EVALUATED,,False,False,0.2967866666132528,0.75,GT-derived isotropic spheres,TIER_R3_REFERENCE_COMPLETE,False
E1_REPLICA_GT_FINE,12582840ae60f713f54a96de02be975353cdfd7834eb8cd93d4f79ba458c5aa3,0.3690031218200704,0.38882716261568523,NOT_EVALUABLE,0.1,0.005000000000000001,0.012859183927286416,20,0.005000000000000001,0.012859183927286416,,ENVIRONMENT_LEVEL_ONLY,NOT_EVALUATED,NOT_EVALUATED,,False,False,0.3476833984741654,0.75,GT-derived isotropic spheres,TIER_R3_REFERENCE_COMPLETE,False
