candidate_id,variant_id,progress_proxy_available,progress_proxy_name,progress_proxy_value,stop_reason,diagnosis,notes
C003,A,True,goal_distance_reduction,0.051808953285217285,stalled_before_goal,compact_progress_proxy_available,Positive values indicate final state is closer to goal than initial state; this is diagnostic only.
C003,B,True,goal_distance_reduction,0.052411824464797974,stalled_before_goal,compact_progress_proxy_available,Positive values indicate final state is closer to goal than initial state; this is diagnostic only.
C003,C,True,goal_distance_reduction,0.052411824464797974,stalled_before_goal,compact_progress_proxy_available,Positive values indicate final state is closer to goal than initial state; this is diagnostic only.
C004,A,True,goal_distance_reduction,0.15519338846206665,max_steps,compact_progress_proxy_available,Positive values indicate final state is closer to goal than initial state; this is diagnostic only.
C004,B,True,goal_distance_reduction,0.15848422050476074,max_steps,compact_progress_proxy_available,Positive values indicate final state is closer to goal than initial state; this is diagnostic only.
C004,C,True,goal_distance_reduction,0.15848422050476074,max_steps,compact_progress_proxy_available,Positive values indicate final state is closer to goal than initial state; this is diagnostic only.
C002,A,True,goal_distance_reduction,0.1938244104385376,max_steps,compact_progress_proxy_available,Positive values indicate final state is closer to goal than initial state; this is diagnostic only.
C002,B,True,goal_distance_reduction,0.19403699040412903,max_steps,compact_progress_proxy_available,Positive values indicate final state is closer to goal than initial state; this is diagnostic only.
C002,C,True,goal_distance_reduction,0.19403699040412903,max_steps,compact_progress_proxy_available,Positive values indicate final state is closer to goal than initial state; this is diagnostic only.
C001,A,True,goal_distance_reduction,0.1819528341293335,max_steps,compact_progress_proxy_available,Positive values indicate final state is closer to goal than initial state; this is diagnostic only.
C001,B,True,goal_distance_reduction,0.1822555661201477,max_steps,compact_progress_proxy_available,Positive values indicate final state is closer to goal than initial state; this is diagnostic only.
C001,C,True,goal_distance_reduction,0.1822555661201477,max_steps,compact_progress_proxy_available,Positive values indicate final state is closer to goal than initial state; this is diagnostic only.
C006,A,True,goal_distance_reduction,0.217196524143219,max_steps,compact_progress_proxy_available,Positive values indicate final state is closer to goal than initial state; this is diagnostic only.
C006,B,True,goal_distance_reduction,0.21617314219474792,max_steps,compact_progress_proxy_available,Positive values indicate final state is closer to goal than initial state; this is diagnostic only.
C006,C,True,goal_distance_reduction,0.21617314219474792,max_steps,compact_progress_proxy_available,Positive values indicate final state is closer to goal than initial state; this is diagnostic only.
